Player,PLAYER_ID,Averages 25+ PPG?,Averages 20+ PPG?,Averages 15+ PPG?,Averages 10+ PPG?,Averages 10+ RPG?,Averages 5+ RPG?,Averages 7+ APG?,Averages 4+ APG?,Averages 1.5+ SPG?,Averages 1+ SPG?,Averages 1.5+ BPG?,Averages 1+ BPG?,Averages 3+ 3PM?,Averages 1+ 3PM?,Averages 30+ min per game?,Averages 20+ min per game?,Shoots 50%+ from the field?,Shoots 35%+ from three?,Shoots 80%+ from the line?,Averages 3+ offensive rebounds?,Averages 3+ turnovers?,Played 50+ games this season?,Played 70+ games this season?,Plays in the Eastern Conference?,Plays in the Western Conference?,Plays in the Atlantic Division?,Plays in the Central Division?,Plays in the Southeast Division?,Plays in the Northwest Division?,Plays in the Pacific Division?,Plays in the Southwest Division?,Is his jersey number less than 10?,Is his jersey number between 10 and 19?,Is his jersey number between 20 and 29?,Is his jersey number 30 or higher?,Is his jersey number an odd number?,Is he from the United States?,Is he from Europe?,Is he from Africa?,Is he from Canada?,Is he from Australia?,Is he from South America?,Did he play college basketball?,MPG,Is he 25 or younger?,Is he 30 or older?,Is he 6-8 or taller?,Is he 7 feet or taller?,Was he a first-round pick?,Was he a lottery pick (top 14)?,Was he undrafted?,Averages 5+ APG?,Averages 8+ RPG?,Shoots 40%+ from three?,Does his last name start with A-M?,Does his first name start with A-M?,Does his last name have more than 6 letters?,Does his first name end in a vowel?,Has he been an All-Star?,Has he been an All-Star 3+ times?,Has he won an NBA Championship?,Has he been All-NBA?,Has he won the MVP award?,Has he won Defensive Player of the Year?,Has he made an All-Defensive Team?
Alex Sarr,1642259,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,27.18,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alijah Martin,1642918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,6.33,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Alondes Williams,1631214,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25.2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Alperen Sengun,1630578,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,33.3,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Amari Williams,1642873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6.62,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Amen Thompson,1641708,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,37.38,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Amir Coffey,1629599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,10.66,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Andersson Garcia,1643158,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.75,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Andre Drummond,203083,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,19.54,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0
Andre Jackson Jr.,1641748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,8.5,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Andrew Nembhard,1629614,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,31.33,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Andrew Wiggins,203952,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,30.33,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
Anfernee Simons,1629014,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,24.94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Anthony Black,1641710,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,29.84,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
